([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:42]-[OH;D1;+0:43])>>([#15:6]-[O-;H0;D1:5]).([C:42]-[O;H0;D2;+0:43]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1	10225
([#15:2]-[O-;H0;D1:3]).([C:38]-[O;H0;D2;+0:39]-[P;H0;D4;+0:40](-[O;-;D1;H0:42])(-[O;-;D1;H0:43])=[O;D1;H0:41])>>([#15:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:40](-[O;-;D1;H0:42])(-[O;-;D1;H0:43])=[O;D1;H0:41]).([C:38]-[OH;D1;+0:39])	1	10226
([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](-[O-;H0;D1:3])=[O;D1;H0:1]).([CH3;D1;+0:15]-[C:13]=[O;D1;H0:14])>>([C:6]/[C:5]=[C:4]/[C;H0;D3;+0:2](=[O;D1;H0:1])-[CH2;D2;+0:15]-[C:13]=[O;D1;H0:14]).([OH2;D0;+0:3])	1	10246
([C:2]/[C:4]=[C:5]/[C;H0;D3;+0:6](=[O;D1;H0:7])-[CH2;D2;+0:8]-[C:9]=[O;D1;H0:10]).([OH2;D0;+0:15])>>([C:2]/[C:4]=[C:5]/[C;H0;D3;+0:6](-[O-;H0;D1:15])=[O;D1;H0:7]).([CH3;D1;+0:8]-[C:9]=[O;D1;H0:10]).([#1;H0;D0;+1])	1	10245
([#15:18]-[O;H0;D2;+0:17]-[P;H0;D4;+0:14](-[#8:13])(-[O;-;D1;H0:16])=[O;D1;H0:15].[#8:10]-[C:11]-[C@H;D3;+0:26](-[C:28])-[O;D1;H1:27]).([OH2;D0;+0:29])>>([#8:10]-[C:11]-[C@H;D3;+0:26](-[C:28])-[O;D1;H1:27].[#8:13]-[P;H0;D4;+0:14](-[O-;H0;D1:29])(-[O;-;D1;H0:16])=[O;D1;H0:15]).([#15:18]-[OH;D1;+0:17]).([#1;H0;D0;+1])	1	10249
([#8:10]-[C:11]-[C@H;D3;+0:18](-[C:20])-[O;D1;H1:19].[#8:13]-[P;H0;D4;+0:14](-[O-;H0;D1:16])(-[O;-;D1;H0:17])=[O;D1;H0:15]).([#15:26]-[OH;D1;+0:29])>>([#15:26]-[O;H0;D2;+0:29]-[P;H0;D4;+0:14](-[#8:13])(-[O;-;D1;H0:17])=[O;D1;H0:15].[#8:10]-[C:11]-[C@H;D3;+0:18](-[C:20])-[O;D1;H1:19]).([OH2;D0;+0:16])	1	10250
([#15:2]-[O-;H0;D1:3]).([C:38]-[O;H0;D2;+0:39]-[P;H0;D4;+0:40](-[O;-;D1;H0:42])(-[O;-;D1;H0:43])=[O;D1;H0:41])>>([#15:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:40](-[O;-;D1;H0:42])(-[O;-;D1;H0:43])=[O;D1;H0:41]).([C:38]-[OH;D1;+0:39])	1	10274
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:42]-[OH;D1;+0:43])>>([#15:6]-[O-;H0;D1:5]).([C:42]-[O;H0;D2;+0:43]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([#1;H0;D0;+1])	1	10273
([#15:25]-[O-;H0;D1:28].[#8:20]-[C@H;D3;+0:19]1-[C:13]-[C@@H;D3;+0:7](-[#8:8])-[C:6]-[C@H;D3;+0:35](-[#8:36]-[#15:37]-[O-;H0;D1:39])-[C@@H;D3;+0:29]-1-[#8:30]).([#15:46]-[O;H0;D2;+0:45]-[P;H0;D4;+0:42](-[O;-;D1;H0:43])(-[O;-;D1;H0:44])=[O;D1;H0:41])>>([#15:25]-[OH;D1;+0:28].[#8:20]-[C@H;D3;+0:19]1-[C:13]-[C@@H;D3;+0:7](-[#8:8])-[C:6]-[C@@H;D3;+0:35](-[#8:36]-[#15:37]-[O;H0;D2;+0:39]-[P;H0;D4;+0:42](-[O;-;D1;H0:43])(-[O;-;D1;H0:44])=[O;D1;H0:41])-[C@@H;D3;+0:29]-1-[#8:30]).([#15:46]-[O-;H0;D1:45])	1	10277
([#15:35]-[OH;D1;+0:38].[#8:24]-[C@@H;D3;+0:23]1-[C@@H;D3;+0:13](-[#8:14]-[#15:15]-[O;H0;D2;+0:18]-[P;H0;D4;+0:19](-[O;-;D1;H0:21])(-[O;-;D1;H0:22])=[O;D1;H0:20])-[C:7]-[C@@H;D3;+0:6](-[#8:5])-[C:39]-[C@H;D3;+0:29]-1-[#8:30]).([#15:46]-[O-;H0;D1:47])>>([#15:35]-[O-;H0;D1:38].[#8:24]-[C@H;D3;+0:23]1-[C@@H;D3;+0:13](-[#8:14]-[#15:15]-[O-;H0;D1:18])-[C:7]-[C@H;D3;+0:6](-[#8:5])-[C:39]-[C@@H;D3;+0:29]-1-[#8:30]).([#15:46]-[O;H0;D2;+0:47]-[P;H0;D4;+0:19](-[O;-;D1;H0:21])(-[O;-;D1;H0:22])=[O;D1;H0:20]).([#1;H0;D0;+1])	1	10278
([#8:11]-[C:10]-[n+;H0;D3:8]1:[cH;D2;+0:7]:[cH;D2;+0:6]:[cH;D2;+0:5]:[c;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[cH;D2;+0:9]:1).([C:48]-[CH;D2;+0:46]=[O;D1;H0:47]).([#15:56]-[OH;D1;+0:59])>>([#8:11]-[C:10]-[N;H0;D3;+0:8]1-[CH;D2;+0:7]=[CH;D2;+0:6]-[CH2;D2;+0:5]-[C;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])=[CH;D2;+0:9]-1).([#15:56]-[O;H0;D2;+0:59]-[C;H0;D3;+0:46](-[C:48])=[O;D1;H0:47]).([#1;H0;D0;+1])	1	10301
([#8:11]-[C:10]-[N;H0;D3;+0:6]1-[CH;D2;+0:5]=[C;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])-[CH2;D2;+0:9]-[CH;D2;+0:8]=[CH;D2;+0:7]-1).([#15:48]-[O;H0;D2;+0:47]-[C;H0;D3;+0:46](-[C:52])=[O;D1;H0:45])>>([#8:11]-[C:10]-[n+;H0;D3:6]1:[cH;D2;+0:5]:[c;H0;D3;+0:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[cH;D2;+0:9]:[cH;D2;+0:8]:[cH;D2;+0:7]:1).([C:52]-[CH;D2;+0:46]=[O;D1;H0:45]).([#15:48]-[OH;D1;+0:47])	1	10302
([C:5]-[SH;D1;+0:6]).([*;D1;H0:49]-[C;H0;D3;+0:50](=[O;D1;H0:51])-[O;H0;D2;+0:52]-[C:53]-[C@H;D3;+0:54](-[C:60])-[#8:56]-[C:57]=[O;D1;H0:59])>>([*;D1;H0:49]-[C;H0;D3;+0:50](=[O;D1;H0:51])-[S;H0;D2;+0:6]-[C:5]).([C:60]-[C@H;D3;+0:54](-[#8:56]-[C:57]=[O;D1;H0:59])-[C:53]-[OH;D1;+0:52])	1	10334
([*;D1;H0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[C:5]).([C:59]-[C@H;D3;+0:56](-[#8:55]-[C:53]=[O;D1;H0:54])-[C:57]-[OH;D1;+0:58])>>([C:5]-[SH;D1;+0:4]).([*;D1;H0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:58]-[C:57]-[C@H;D3;+0:56](-[C:59])-[#8:55]-[C:53]=[O;D1;H0:54])	1	10333
([O;-;D1;H0:13]-[C:11](=[O;D1;H0:12])-[C@H;D3;+0:9](-[OH;D1;+0:10])-[C@H;D3;+0:5](-[C:4]-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])-[C:6](-[O;-;D1;H0:8])=[O;D1;H0:7])>>([O;-;D1;H0:13]-[C:11](=[O;D1;H0:12])-[CH2;D2;+0:9]-[C;H0;D4;+0:5](-[OH;D1;+0:10])(-[C:4]-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])-[C:6](-[O;-;D1;H0:8])=[O;D1;H0:7])	1	10338
([O;-;D1;H0:13]-[C:11](=[O;D1;H0:12])-[C:10]-[C;H0;D4;+0:5](-[OH;D1;+0:6])(-[CH2;D2;+0:4]-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])-[C:7](-[O;-;D1;H0:9])=[O;D1;H0:8])>>([O;-;D1;H0:13]-[C:11](=[O;D1;H0:12])-[C:10]-[C@H;D3;+0:5](-[C:7](-[O;-;D1;H0:9])=[O;D1;H0:8])-[C@@H;D3;+0:4](-[OH;D1;+0:6])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])	1	10337
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([C:39]-[C;H0;D3;+0:37](=[O;D1;H0:38])-[NH;D2;+0:36]-[C:35]-[C:33](-[O;-;D1;H0:34])=[O;D1;H0:32]).([OH2;D0;+0:41]).([OH2;D0;+0:42])>>([#15:6]-[O-;H0;D1:5]).([C:39]-[C;H0;D3;+0:37](-[O-;H0;D1:41])=[O;D1;H0:38].[NH3+;D1:36]-[C:35]-[C:33](-[O;-;D1;H0:34])=[O;D1;H0:32]).([O;-;D1;H0:3]-[P;H0;D4;+0:2](-[O;-;D1;H0:4])(=[O;D1;H0:1])-[OH;D1;+0:42]).([#1;H0;D0;+1])	1	10349
([#15:2]-[O-;H0;D1:3]).([NH3+;D1:37]-[C@@H;D3;+0:33](-[C:32]-[C:31]-[C;H0;D3;+0:29](-[O-;H0;D1:30])=[O;D1;H0:28])-[C:34](-[O;-;D1;H0:36])=[O;D1;H0:35]).([O;-;D1;H0:40]-[P;H0;D4;+0:39](-[O;-;D1;H0:41])(=[O;D1;H0:38])-[OH;D1;+0:42])>>([#15:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:39](-[O;-;D1;H0:40])(-[O;-;D1;H0:41])=[O;D1;H0:38]).([O;-;D1;H0:36]-[C:34](=[O;D1;H0:35])-[C@@H;D3;+0:33]1-[C:32]-[C:31]-[C;H0;D3;+0:29](=[O;D1;H0:28])-[NH;D2;+0:37]-1).([OH2;D0;+0:30]).([OH2;D0;+0:42])	1	10350
([#15:6]-[O;H0;D2;+0:5]-[P;H0;D4;+0:2](-[O;-;D1;H0:3])(-[O;-;D1;H0:4])=[O;D1;H0:1]).([OH2;D0;+0:32])>>([#15:6]-[O-;H0;D1:5]).([O;-;D1;H0:3]-[P;H0;D4;+0:2](-[O;-;D1;H0:4])(=[O;D1;H0:1])-[OH;D1;+0:32]).([#1;H0;D0;+1])	1	10377
([#15:2]-[O-;H0;D1:3]).([O;-;D1;H0:30]-[P;H0;D4;+0:29](-[O;-;D1;H0:31])(=[O;D1;H0:28])-[OH;D1;+0:32])>>([#15:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:29](-[O;-;D1;H0:30])(-[O;-;D1;H0:31])=[O;D1;H0:28]).([OH2;D0;+0:32])	1	10378
([#7;a:8]:[c:9]:[n;H0;D3;+0:11](:[c:4]-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])-[C@@H;D3;+0:12]1-[#8:13]-[C@H;D3;+0:14](-[C:15])-[C@@H;D3;+0:21](-[O;D1;H1:22])-[C@H;D3;+0:23]-1-[O;D1;H1:24]).([#15:30]-[OH;D1;+0:33])>>([#15:30]-[O;H0;D2;+0:33]-[C@H;D3;+0:12]1-[#8:13]-[C@H;D3;+0:14](-[C:15])-[C@@H;D3;+0:21](-[O;D1;H1:22])-[C@H;D3;+0:23]-1-[O;D1;H1:24]).([#7;a:8]:[c:9]:[nH;D2;+0:11]:[c:4]-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1])	1	10381
([#15:11]-[O;H0;D2;+0:10]-[C@@H;D3;+0:9](-[#8:8])-[C:19]).([#7;a:30]:[c:28]:[nH;D2;+0:27]:[c:26]-[C:31](-[O;-;D1;H0:33])=[O;D1;H0:32])>>([#7;a:30]:[c:28]:[n;H0;D3;+0:27](:[c:26]-[C:31](-[O;-;D1;H0:33])=[O;D1;H0:32])-[C@H;D3;+0:9](-[#8:8])-[C:19]).([#15:11]-[OH;D1;+0:10])	1	10382
([#15:20]-[O;H0;D2;+0:23]-[P;H0;D4;+0:24](-[O;-;D1;H0:26])(-[O;-;D1;H0:27])=[O;D1;H0:25]).([O-;H0;D1:41]-[C;H0;D3;+0:39](=[O;D1;H0:40])-[CH2;D2;+0:38]-[C;H0;D3;+0:36](=[O;H0;D1;+0:37])-[C:34](-[O;-;D1;H0:35])=[O;D1;H0:33])>>([#15:20]-[O-;H0;D1:23]).([CH2;D1;+0:38]=[C;H0;D3;+0:36](-[O;H0;D2;+0:37]-[P;H0;D4;+0:24](-[O;-;D1;H0:26])(-[O;-;D1;H0:27])=[O;D1;H0:25])-[C:34](-[O;-;D1;H0:35])=[O;D1;H0:33]).([O;D1;H0:40]=[C;H0;D2;+0:39]=[O;H0;D1;+0:41])	1	10389
([#15:20]-[O-;H0;D1:22]).([CH2;D1;+0:38]=[C;H0;D3;+0:32](-[O;H0;D2;+0:33]-[P;H0;D4;+0:34](-[O;-;D1;H0:36])(-[O;-;D1;H0:37])=[O;D1;H0:35])-[C:30](-[O;-;D1;H0:31])=[O;D1;H0:29]).([O;D1;H0:41]=[C;H0;D2;+0:40]=[O;H0;D1;+0:39])>>([#15:20]-[O;H0;D2;+0:22]-[P;H0;D4;+0:34](-[O;-;D1;H0:36])(-[O;-;D1;H0:37])=[O;D1;H0:35]).([O-;H0;D1:39]-[C;H0;D3;+0:40](=[O;D1;H0:41])-[CH2;D2;+0:38]-[C;H0;D3;+0:32](=[O;H0;D1;+0:33])-[C:30](-[O;-;D1;H0:31])=[O;D1;H0:29])	1	10390
([C:6]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([C;D1;H3:15]-[C@H;D3;+0:14](-[NH3+;D1:16])-[C:12](-[O;-;D1;H0:13])=[O;D1;H0:11])>>([C:6]-[C@H;D3;+0:4](-[NH3+;D1:16])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([C;D1;H3:15]-[C;H0;D3;+0:14](=[O;H0;D1;+0:5])-[C:12](-[O;-;D1;H0:13])=[O;D1;H0:11])	1	10402
([C:6]-[C@H;D3;+0:4](-[NH3+;D1:5])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([C;D1;H3:16]-[C;H0;D3;+0:14](=[O;H0;D1;+0:15])-[C:12](-[O;-;D1;H0:13])=[O;D1;H0:11])>>([C:6]-[C;H0;D3;+0:4](=[O;H0;D1;+0:15])-[C:2](-[O;-;D1;H0:3])=[O;D1;H0:1]).([C;D1;H3:16]-[C@H;D3;+0:14](-[NH3+;D1:5])-[C:12](-[O;-;D1;H0:13])=[O;D1;H0:11])	1	10401
