([OH;D1;+0:27]-[c:26])>>([OH;D1;+0:39]-[CH2;D2;+0:38]-[C@H;D3;+0:37]1-[O;H0;D2;+0:36]-[C@@H;D3;+0:35](-[O;H0;D2;+0:27]-[c:26])-[C@H;D3;+0:44](-[OH;D1;+0:45])-[C@@H;D3;+0:42](-[OH;D1;+0:43])-[C@@H;D3;+0:40]-1-[OH;D1;+0:41])	1.5	chemblRule17
([OH;D1;+0:27]-[c:26])>>([OH;D1;+0:39]-[CH2;D2;+0:38]-[C@H;D3;+0:37]1-[O;H0;D2;+0:36]-[C@@H;D3;+0:35](-[O;H0;D2;+0:27]-[c:26])-[C@H;D3;+0:44](-[OH;D1;+0:45])-[C@@H;D3;+0:42](-[OH;D1;+0:43])-[C@@H;D3;+0:40]-1-[OH;D1;+0:41])	1.5	chemblRule18
([O;H0;D1;+0:35]=[C;H0;D3;+0:36](-[OH;D1;+0:37])-[CH2;D2;+0:38]-[CH2;D2;+0:39]-[O;H0;D2;+0:1]-[c:2])>>([OH;D1;+0:1]-[c:2])	1.5	chemblRule19
([OH;D1;+0:38]-[CH2;D2;+0:37]-[CH2;D2;+0:36]-[CH2;D2;+0:35]-[O;H0;D2;+0:27]-[c:26])>>([OH;D1;+0:27]-[c:26])	1.5	chemblRule20
([C:11]-[C@@H;D3;+0:10](-[C:26])-[C:9].[C:29]-[C@H;D3;+0:3](-[C:4]-[C:5]-[OH;D1;+0:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D4;+0:35](-[CH3;D1;+0:36])(-[CH3;D1;+0:37])-[C;H0;D3;+0:33](-[NH2;D1;+0:34])=[O;H0;D1;+0:32])>>([C:11]-[C@@H;D3;+0:10](-[C:26])-[C:9].[C:29]-[C@H;D3;+0:3]1-[C:4]-[C:5]-[O;H0;D2;+0:6]-[C;H0;D3;+0:1]-1=[O;D1;H0:2])	1.5	chemblRule21
([C:11]-[C@@H;D3;+0:10](-[C:26])-[C:9].[C:29]-[C@H;D3;+0:3](-[C:4]-[C:5]-[OH;D1;+0:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D4;+0:35](-[CH3;D1;+0:36])(-[CH3;D1;+0:37])-[C;H0;D3;+0:33](-[NH2;D1;+0:34])=[O;H0;D1;+0:32])>>([C:11]-[C@@H;D3;+0:10](-[C:26])-[C:9].[C:29]-[C@H;D3;+0:3]1-[C:4]-[C:5]-[O;H0;D2;+0:6]-[C;H0;D3;+0:1]-1=[O;D1;H0:2])	1.5	chemblRule22
([#7:8]-[C:9](=[O;D1;H0:10])-[C@@H;D3;+0:11](-[C:12])-[C:37].[C:19]-[C@H;D3;+0:18](-[C:34])-[C:17]-[C:15]-[NH2;D1;+0:16])>>([#7:8]-[C:9](=[O;D1;H0:10])-[C@H;D3;+0:11](-[C:12])-[C:37].[C:19]-[C@@H;D3;+0:18](-[C:34])-[C:17]-[C:15]-[NH;D2;+0:16]-[C;H0;D3;+0:41](-[CH3;D1;+0:42])=[O;H0;D1;+0:40])	1.5	chemblRule23
([C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:30]-[OH;D1;+0:31])	1.5	chemblRule28
([C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:30]-[OH;D1;+0:31])	1.5	chemblRule29
([C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:30]-[OH;D1;+0:31])	1.5	chemblRule30
([CH3;D1;+0:39]-[O;H0;D2;+0:24]-[c:23])>>([OH;D1;+0:24]-[c:23])	1.5	chemblRule31
([CH3;D1;+0:39]-[O;H0;D2;+0:24]-[c:23])>>([OH;D1;+0:24]-[c:23])	1.5	chemblRule32
([O;H0;D1;+0:35]=[C;H0;D3;+0:36](-[OH;D1;+0:37])-[CH2;D2;+0:38]-[CH2;D2;+0:39]-[O;H0;D2;+0:1]-[c:2])>>([OH;D1;+0:1]-[c:2])	1.5	chemblRule33
([C:11]-[CH2;D2;+0:10]-[C;H0;D3;+0:8](=[CH2;D1;+0:9])-[C:6]=[C:7])>>([C:11]-[CH;D2;+0:10]=[C;H0;D3;+0:8](-[C:6]=[C:7])-[CH2;D2;+0:9]-[OH;D1;+0:23])	1.5	chemblRule34
